[[0.4013672048370986, -1.6878056769011394, 1.1177386391513888, -1.5943233518981965, -0.816752086211143, 0.08835504420274154], [-1.9287061077403904, -1.4281354137637188, 0.6038045743469215, -0.9699943311452384, -1.002584041961431, -0.4831293839176354]]
[[0.4013672048370986, -1.6878056769011394, 1.1177386391513888, -1.5943233518981965, -0.816752086211143, 0.08835504420274154], [-1.603687493717159, -1.3749979010914137, 0.624238885225218, -1.2737113215513653, -0.9836122136091396, -0.5094219490089181]]
[[0.4013672048370986, -1.6878056769011394, 1.1177386391513888, -1.5943233518981965, -0.816752086211143, 0.08835504420274154], [-0.09618091545326236, -1.646913667854468, 1.2301884609901674, -1.3007145090883911, -0.9814376968954052, -0.5091538294726569]]
[[0.4013672048370986, -1.6878056769011394, 1.1177386391513888, -1.5943233518981965, -0.816752086211143, 0.08835504420274154], [-0.3229351530810373, -1.4420247963969377, 0.9495182684453404, -1.469791527094406, -1.8180981506984155, -0.5806849289954321]]
[[0.4013672048370986, -1.6878056769011394, 1.1177386391513888, -1.5943233518981965, -0.816752086211143, 0.08835504420274154], [-0.1422316204788497, -1.4244832562019099, 0.8258730902095492, -1.126235700959872, -1.7685673254265897, -0.5956613396817684]]
[[0.4013672048370986, -1.6878056769011394, 1.1177386391513888, -1.5943233518981965, -0.816752086211143, 0.08835504420274154], [-0.9686162306332282, -1.3189068774339205, 0.8887329623521621, -1.2405571363715833, -1.677742012142283, -1.3952308744319266]]
[[0.4013672048370986, -1.6878056769011394, 1.1177386391513888, -1.5943233518981965, -0.816752086211143, 0.08835504420274154], [0.6741154454678632, -1.1342007292487155, 0.3195164579915672, -0.7375459701998857, -1.604859458986322, -1.3194836642674819]]
[[0.4013672048370986, -1.6878056769011394, 1.1177386391513888, -1.5943233518981965, -0.816752086211143, 0.08835504420274154], [-1.9249775378636007, -1.8529688610900832, 1.299, -1.349581889702728, -1.5628525836094842, -0.13960430892749198]]
[[-1.9287061077403904, -1.4281354137637188, 0.6038045743469215, -0.9699943311452384, -1.002584041961431, -0.4831293839176354], [-1.603687493717159, -1.3749979010914137, 0.624238885225218, -1.2737113215513653, -0.9836122136091396, -0.5094219490089181]]
[[-1.9287061077403904, -1.4281354137637188, 0.6038045743469215, -0.9699943311452384, -1.002584041961431, -0.4831293839176354], [-0.09618091545326236, -1.646913667854468, 1.2301884609901674, -1.3007145090883911, -0.9814376968954052, -0.5091538294726569]]
[[-1.9287061077403904, -1.4281354137637188, 0.6038045743469215, -0.9699943311452384, -1.002584041961431, -0.4831293839176354], [-0.3229351530810373, -1.4420247963969377, 0.9495182684453404, -1.469791527094406, -1.8180981506984155, -0.5806849289954321]]
[[-1.9287061077403904, -1.4281354137637188, 0.6038045743469215, -0.9699943311452384, -1.002584041961431, -0.4831293839176354], [-0.1422316204788497, -1.4244832562019099, 0.8258730902095492, -1.126235700959872, -1.7685673254265897, -0.5956613396817684]]
[[-1.9287061077403904, -1.4281354137637188, 0.6038045743469215, -0.9699943311452384, -1.002584041961431, -0.4831293839176354], [-0.9686162306332282, -1.3189068774339205, 0.8887329623521621, -1.2405571363715833, -1.677742012142283, -1.3952308744319266]]
[[-1.9287061077403904, -1.4281354137637188, 0.6038045743469215, -0.9699943311452384, -1.002584041961431, -0.4831293839176354], [0.6741154454678632, -1.1342007292487155, 0.3195164579915672, -0.7375459701998857, -1.604859458986322, -1.3194836642674819]]
[[-1.9287061077403904, -1.4281354137637188, 0.6038045743469215, -0.9699943311452384, -1.002584041961431, -0.4831293839176354], [-1.9249775378636007, -1.8529688610900832, 1.299, -1.349581889702728, -1.5628525836094842, -0.13960430892749198]]
[[-1.603687493717159, -1.3749979010914137, 0.624238885225218, -1.2737113215513653, -0.9836122136091396, -0.5094219490089181], [-0.09618091545326236, -1.646913667854468, 1.2301884609901674, -1.3007145090883911, -0.9814376968954052, -0.5091538294726569]]
